ell2,ell3,ell4,ell5,ell6,ell7,ell8
4.427312880433277695e-04,1.754397364862267665e-04,4.337022879140777810e-04,4.863621377770957791e-04,7.367438161736257658e-03,4.223118365924176040e-03,1.307787664229798433e-02
2.277365814454499230e-04,3.288984795500356890e-04,3.292268947912404056e-04,7.158523320074869356e-04,1.739513795656215433e-03,5.746461941061611900e-03,1.041103958609021669e-02
1.992744525188065957e-04,4.300135916882792415e-04,2.800565011530699875e-04,5.581180089573512708e-04,3.071055626437418917e-03,3.234458611766975137e-03,5.646169153844008207e-03
2.994942581594090274e-04,1.710588480988185995e-03,1.132975326887513193e-03,7.649587551026074388e-04,1.705382306464814758e-03,2.815835584624500759e-04,2.605496271238637567e-03
2.755282497858799499e-04,7.696316405896763604e-04,7.304464021832966954e-04,9.991434119974885054e-04,8.549994832610463644e-04,1.681605876779861033e-03,2.460142227731217362e-03
2.391685300278582709e-04,2.473220158314608859e-04,1.106643704210409206e-03,2.316799905801563558e-03,2.072605228853634978e-04,6.184518582355840594e-04,5.560280112577723095e-03
4.249519902324561094e-04,7.377477105041250127e-04,1.375859802770794827e-03,9.171686236008268992e-04,1.875463346465960262e-03,1.604104850578566424e-03,1.559914585533737517e-03
4.836855855255088035e-04,2.178044721238535657e-04,1.021916577497151112e-03,3.335250606971827290e-04,7.756139920647775248e-04,5.234000421038968384e-03,3.026119191547633081e-04
3.135584913039210172e-04,1.055315200095206926e-03,1.344715127921845442e-03,2.952102329733889783e-03,7.585426617586904507e-04,2.665315625775844903e-03,4.123379923679494803e-03
6.280046150103751326e-04,4.154263514380668971e-04,8.082170471238615253e-04,6.070107285259641145e-04,9.948703003719763360e-04,6.192027111899296374e-03,6.916281968290585985e-04
1.695144065475390454e-04,5.210252075388310030e-04,3.696689493653220046e-04,1.131435241254250381e-03,7.495635326231393086e-03,2.764681861246128403e-03,8.328625856274953594e-04
2.723131647533884965e-04,1.221039867806425830e-03,1.779296200411902657e-03,1.695016540238942484e-03,1.357594418609533310e-02,5.362502775030777514e-04,2.400591295536587486e-03
2.096357108977002525e-04,2.545970236274508686e-04,5.617881112463231569e-04,1.391179054458581291e-03,1.895405448141480268e-03,1.579186332306361140e-04,2.161562569672167630e-03
1.179798876293822440e-04,2.383426217753922436e-04,4.407976102197321000e-04,2.845693877466701997e-03,1.025987052379377000e-03,2.279555368417508689e-03,5.077254503368754243e-04
2.878507543444499455e-04,3.883164270967583371e-04,7.491661083544422835e-04,1.739618451092460761e-03,5.403392223961296474e-04,1.586047674057834006e-03,2.879191305167924046e-03
