start_dates,end_dates,changes,errors,unit,author
1990.75,1991.75,-0.0683,0.3895,mwe,Huss et al.
1991.75,1992.75,0.3014,0.4972,mwe,Huss et al.
1992.75,1993.75,0.43,0.5667,mwe,Huss et al.
1993.75,1994.75,-0.3361,0.3921,mwe,Huss et al.
1994.75,1995.75,-0.4735,0.5796,mwe,Huss et al.
1995.75,1996.75,-0.1469,0.4124,mwe,Huss et al.
1996.75,1997.75,-1.3976,0.6057,mwe,Huss et al.
1997.75,1998.75,0.2461,0.4748,mwe,Huss et al.
1998.75,1999.75,-0.0395,0.2928,mwe,Huss et al.
1999.75,2000.75,0.3489,0.2237,mwe,Huss et al.
2000.75,2001.75,-0.1153,0.7483,mwe,Huss et al.
2001.75,2002.75,0.0549,0.5298,mwe,Huss et al.
2002.75,2003.75,-0.7828,0.93,mwe,Huss et al.
2003.75,2004.75,-0.6974,0.9848,mwe,Huss et al.
2004.75,2005.75,0.2846,0.3746,mwe,Huss et al.
2005.75,2006.75,-1.0698,0.6345,mwe,Huss et al.
2006.75,2007.75,-0.7217,0.3408,mwe,Huss et al.
2007.75,2008.75,-0.7734,0.4762,mwe,Huss et al.
2008.75,2009.75,0.3987,0.3642,mwe,Huss et al.
2009.75,2010.75,0.5141,0.4546,mwe,Huss et al.
2010.75,2011.75,0.2827,0.237,mwe,Huss et al.
2011.75,2012.75,-0.2133,0.2636,mwe,Huss et al.
2012.75,2013.75,-0.354,0.3257,mwe,Huss et al.
2013.75,2014.75,-0.0924,0.2716,mwe,Huss et al.
2014.75,2015.75,0.1366,0.2969,mwe,Huss et al.
2015.75,2016.75,-0.1626,0.4272,mwe,Huss et al.
2016.75,2017.75,-0.0849,0.3482,mwe,Huss et al.
2017.75,2018.75,-0.0181,0.2927,mwe,Huss et al.
2018.75,2019.75,0.2968,0.4781,mwe,Huss et al.
2019.75,2020.75,0.4209,0.1742,mwe,Huss et al.
2020.75,2021.75,-0.4784,0.3839,mwe,Huss et al.
