start_dates,end_dates,changes,errors,unit,author
1999.75,2000.75,0.1181765022465031,0.1571817733199882,mwe,Dussaillant et al.
2000.75,2001.75,-0.3382922175826378,0.156310309672189,mwe,Dussaillant et al.
2001.75,2002.75,-0.6818659183019629,0.1568457773134952,mwe,Dussaillant et al.
2002.75,2003.75,-0.9574868610057564,0.1542725119161922,mwe,Dussaillant et al.
2003.75,2004.75,-1.9692702597359923,0.1585164993862326,mwe,Dussaillant et al.
2004.75,2005.75,-1.2037421234711772,0.15496388174968,mwe,Dussaillant et al.
2005.75,2006.75,-0.4002160709500332,0.1538929127907896,mwe,Dussaillant et al.
2006.75,2007.75,-0.3576102719622482,0.1576843149355948,mwe,Dussaillant et al.
2007.75,2008.75,0.7707284448730048,0.1535214630157866,mwe,Dussaillant et al.
2008.75,2009.75,-0.9484281482220118,0.1563668081468031,mwe,Dussaillant et al.
2009.75,2010.75,-0.7140396969651711,0.1590077244537979,mwe,Dussaillant et al.
2010.75,2011.75,-1.044360282683958,0.1611046583678614,mwe,Dussaillant et al.
2011.75,2012.75,0.5783036802044985,0.1567836435788765,mwe,Dussaillant et al.
2012.75,2013.75,-1.431422375770269,0.1551365508137052,mwe,Dussaillant et al.
2013.75,2014.75,-1.1130633613948948,0.1579084579670595,mwe,Dussaillant et al.
2014.75,2015.75,-1.284985674856007,0.1547666118402195,mwe,Dussaillant et al.
2015.75,2016.75,-1.0448355381927623,0.1566088160128476,mwe,Dussaillant et al.
2016.75,2017.75,-1.2515133464859958,0.1594070802171947,mwe,Dussaillant et al.
2017.75,2018.75,-1.5437279598842018,0.1568059815269721,mwe,Dussaillant et al.
2018.75,2019.75,-2.104258016503496,0.1569263578945463,mwe,Dussaillant et al.
2019.75,2020.75,-0.833897593427362,0.156317672627223,mwe,Dussaillant et al.
2020.75,2021.75,-0.6121529548189829,0.1544485002631017,mwe,Dussaillant et al.
2021.75,2022.75,-0.985982811752577,0.1576663900212967,mwe,Dussaillant et al.
2022.75,2023.75,-1.270702492841909,0.1523493197313001,mwe,Dussaillant et al.
2023.75,2024.75,-1.2045119750158144,0.1561900910303859,mwe,Dussaillant et al.
