start_dates,end_dates,changes,errors,unit,author
1970.75,1971.75,-12.24,26.16,Gt,Box et al.
1971.75,1972.75,7.99,35.57,Gt,Box et al.
1972.75,1973.75,2.71,29.96,Gt,Box et al.
1973.75,1974.75,-0.65,13.18,Gt,Box et al.
1974.75,1975.75,9.69,23.57,Gt,Box et al.
1975.75,1976.75,15.32,31.28,Gt,Box et al.
1976.75,1977.75,-8.86,18.72,Gt,Box et al.
1977.75,1978.75,2.62,19.27,Gt,Box et al.
1978.75,1979.75,5.24,17.95,Gt,Box et al.
1979.75,1980.75,1.85,7.92,Gt,Box et al.
1980.75,1981.75,-7.62,5.1,Gt,Box et al.
1981.75,1982.75,-0.71,19.58,Gt,Box et al.
1982.75,1983.75,3.91,32.92,Gt,Box et al.
1983.75,1984.75,8.79,7.64,Gt,Box et al.
1984.75,1985.75,1.11,9.88,Gt,Box et al.
1985.75,1986.75,14.65,36.01,Gt,Box et al.
1986.75,1987.75,-6.41,44.01,Gt,Box et al.
1987.75,1988.75,-10.52,37.7,Gt,Box et al.
1988.75,1989.75,5.21,24.89,Gt,Box et al.
1989.75,1990.75,-14.37,13.61,Gt,Box et al.
1990.75,1991.75,-5.28,23.02,Gt,Box et al.
1991.75,1992.75,0.46,34.17,Gt,Box et al.
1992.75,1993.75,-22.87,35.53,Gt,Box et al.
1993.75,1994.75,-4.52,19.5,Gt,Box et al.
1994.75,1995.75,-10.52,20.41,Gt,Box et al.
1995.75,1996.75,5.19,16.93,Gt,Box et al.
1996.75,1997.75,4.66,12.63,Gt,Box et al.
1997.75,1998.75,-18.48,25.7,Gt,Box et al.
1998.75,1999.75,-22.41,10.3,Gt,Box et al.
1999.75,2000.75,-29.65,8.75,Gt,Box et al.
2000.75,2001.75,-18.75,49.94,Gt,Box et al.
2001.75,2002.75,8.06,8.18,Gt,Box et al.
2002.75,2003.75,-8.2,29.47,Gt,Box et al.
2003.75,2004.75,17.1,6.6,Gt,Box et al.
2004.75,2005.75,-23.03,23.47,Gt,Box et al.
2005.75,2006.75,-8.27,17.56,Gt,Box et al.
2006.75,2007.75,-43.25,29.37,Gt,Box et al.
2007.75,2008.75,-52.06,16.74,Gt,Box et al.
2008.75,2009.75,-38.13,29.41,Gt,Box et al.
2009.75,2010.75,-29.68,31.37,Gt,Box et al.
2010.75,2011.75,-74.33,12.08,Gt,Box et al.
2011.75,2012.75,-67.23,17.33,Gt,Box et al.
2012.75,2013.75,8.68,18.46,Gt,Box et al.
2013.75,2014.75,-11.36,21.57,Gt,Box et al.
2014.75,2015.75,-49.55,14.52,Gt,Box et al.
2015.75,2016.75,-37.81,30.94,Gt,Box et al.
2016.75,2017.75,6.23,17.37,Gt,Box et al.
2017.75,2018.75,14.37,8.8,Gt,Box et al.
2018.75,2019.75,-47.35,34.14,Gt,Box et al.
2019.75,2020.75,-48.32,29.93,Gt,Box et al.
2020.75,2021.75,3.89,17.44,Gt,Box et al.
2021.75,2022.75,-54.81,13.37,Gt,Box et al.
