start_dates,end_dates,changes,errors,unit,author
2002.75,2003.75,-14.91,6.72,Gt,Box et al.
2003.75,2004.75,-18.63,10.27,Gt,Box et al.
2004.75,2005.75,-13.43,6.84,Gt,Box et al.
2005.75,2006.75,-7.92,4.47,Gt,Box et al.
2006.75,2007.75,-6.12,2.03,Gt,Box et al.
2007.75,2008.75,3.83,1.79,Gt,Box et al.
2008.75,2009.75,-8.57,11.08,Gt,Box et al.
2009.75,2010.75,-2.9,1.62,Gt,Box et al.
2010.75,2011.75,-20.4,3.64,Gt,Box et al.
2011.75,2012.75,-5.44,5.22,Gt,Box et al.
2012.75,2013.75,-24.13,12.68,Gt,Box et al.
2013.75,2014.75,-1.96,6.5,Gt,Box et al.
2014.75,2015.75,-16.85,7.02,Gt,Box et al.
