start_dates,end_dates,changes,errors,unit,author
1990.75,1991.75,0.3951,0.1952,mwe,Huss et al.
1991.75,1992.75,0.1809,0.2859,mwe,Huss et al.
1992.75,1993.75,-0.5414,0.3634,mwe,Huss et al.
1993.75,1994.75,0.2872,0.1808,mwe,Huss et al.
1994.75,1995.75,-0.2519,0.2672,mwe,Huss et al.
1995.75,1996.75,0.1234,0.4561,mwe,Huss et al.
1996.75,1997.75,-0.0029,0.1976,mwe,Huss et al.
1997.75,1998.75,-0.4195,0.2814,mwe,Huss et al.
1998.75,1999.75,-0.0426,0.0869,mwe,Huss et al.
1999.75,2000.75,0.2654,0.1486,mwe,Huss et al.
2000.75,2001.75,-0.2834,0.3043,mwe,Huss et al.
2001.75,2002.75,-0.1102,0.2252,mwe,Huss et al.
2002.75,2003.75,-0.2734,0.1655,mwe,Huss et al.
2003.75,2004.75,-0.4476,0.3589,mwe,Huss et al.
2004.75,2005.75,-0.2746,0.1917,mwe,Huss et al.
2005.75,2006.75,-0.0724,0.1326,mwe,Huss et al.
2006.75,2007.75,-0.0913,0.1553,mwe,Huss et al.
2007.75,2008.75,0.2104,0.1689,mwe,Huss et al.
2008.75,2009.75,-0.2003,0.1943,mwe,Huss et al.
2009.75,2010.75,0.0421,0.1316,mwe,Huss et al.
2010.75,2011.75,-0.5353,0.1454,mwe,Huss et al.
2011.75,2012.75,0.0806,0.1034,mwe,Huss et al.
2012.75,2013.75,-0.516,0.1722,mwe,Huss et al.
2013.75,2014.75,0.0878,0.112,mwe,Huss et al.
2014.75,2015.75,-0.3588,0.1289,mwe,Huss et al.
2015.75,2016.75,-0.5788,0.2462,mwe,Huss et al.
2016.75,2017.75,-0.1767,0.143,mwe,Huss et al.
2017.75,2018.75,-0.4789,0.2198,mwe,Huss et al.
2018.75,2019.75,-0.3446,0.1462,mwe,Huss et al.
2019.75,2020.75,-1.2359,0.3586,mwe,Huss et al.
2020.75,2021.75,-0.0896,0.2309,mwe,Huss et al.
