agent,count
silver iodide,521
"silver iodide, sodium iodide",108
"silver iodide, ammonium iodide",59
"silver iodide, calcium chloride",23
ionized air,21
"silver iodide, ammonium iodide, acetone",15
"silver iodide, hygroscopic aerosols",14
"silver iodide, dry ice",12
"silver iodide, hygroscopic",8
"silver iodide, hygroscopic agents",6
"silver iodide, acetone",6
"silver iodide, sodium chloride",5
calcium chloride,5
carbon dioxide,4
"silver iodide, hygroscopic materials",4
"silver iodide, propane",3
water,3
"silver iodide, potassium chloride",2
"silver iodide, ammonium iodide, ammonium perchlorate, sodium perchlorate, acetone",2
"silver iodide, cesium iodide",2
dry ice,2
"sulfur dioxide, calcium carbonate",1
"silver iodide, liquid propane",1
"silver iodide, ammonium iodide, ammonium sodium perchlorate, acetone",1
"silver iodide, ammonium, sodium perchlorate, acetone",1
"silver iodide, ammonium iodide, ammonium perchlorate, sodium precipitate, acetone",1
"silver iodide, silver chloride, potassium iodide",1
ammonium iodide,1
