bus0,bus1,p_nom,length,carrier
Bus1,Bus2,5000,50,AC
Bus2,Bus3,5000,50,AC
Bus3,Bus4,5000,50,AC
Bus4,Bus5,5000,50,AC
Bus6,Bus7,5000,50,AC
Bus7,Bus8,5000,50,AC
Bus8,Bus9,5000,50,AC
Bus9,Bus10,5000,50,AC
Bus10,Bus11,5000,50,AC
Bus11,Bus12,5000,50,AC
Bus12,Bus13,5000,50,AC
Bus13,Bus14,5000,50,AC
Bus14,Bus15,5000,50,AC
Bus15,Bus16,5000,50,AC
Bus16,Bus17,5000,50,AC
Bus17,Bus18,5000,50,AC
Bus18,Bus19,5000,50,AC
Bus19,Bus20,5000,50,AC
Bus1,Bus6,1500,200,AC
Bus2,Bus7,1500,200,AC
Bus3,Bus8,1500,200,AC
Bus4,Bus9,1500,200,AC
Bus5,Bus10,1500,200,AC
